"Query#","original","noisy-translation-pt","IDCG@10","Text"
23849,16.689854259396537,11.77124027073634,31.804915366618413,"are naturalization records public information"
42255,17.075732428174046,17.27715951054445,18.7710512655814,"average salary for dental hygienist in nebraska"
47210,26.772612798586827,26.21841348464324,28.182676571548022,"average wedding dress alteration cost"
67316,17.369096370924005,17.369096370924005,26.849343238214693,"can fever cause miscarriage early pregnancy"
118440,8.857051577981405,8.857051577981405,31.804915366618413,"define bmt medical"
121171,6.153272955427947,5.961825970639053,13.630678014265035,"define etruscans"
135802,9.850382753865263,0.6309297535714575,13.05254836162926,"definition of laudable"
141630,12.465213542127314,12.465213542127314,20.154397028550864,"describe how muscles and bones work together to produce movement"
156498,11.396067615340272,12.271200665593131,15.81955861672984,"do google docs auto save"
169208,9.816976321918249,13.71319092450968,23.87710326084444,"does mississippi have an income tax"
174463,9.716678421164765,11.277159510544449,17.630678014265033,"dog day afternoon meaning"
258062,20.899098939871642,21.28613627479993,31.804915366618413,"how long does it take to remove wisdom tooth"
324585,22.97254716548908,22.97254716548908,31.804915366618413,"how much money do motivational speakers make"
330975,21.84297688516349,21.84297688516349,31.804915366618413,"how much would it cost to install my own wind turbine"
332593,18.123101343574895,18.31425283253144,26.849343238214693,"how often to button quail lay eggs"
336901,10.014735906513751,10.014735906513751,14.9165082750002,"how old is vanessa redgrave"
390360,16.497263314073056,14.31401844608335,26.849343238214693,"ia suffix meaning"
405163,2.1072099696478683,2.493450309756155,31.804915366618413,"is caffeine an narcotic"
555530,5.05435790888666,4.684004471296071,13.630678014265035,"what are best foods to lower cholesterol"
583468,29.22085601817806,29.22085601817806,31.804915366618413,"what carvedilol used for"
640502,31.80491536661842,31.80491536661842,31.804915366618413,"what does it mean if your tsh is low"
673670,11.416508275000202,0.0,29.444536078690945,"what is a alm"
701453,22.633186696164966,0.0,23.87710326084444,"what is a statutory deed"
730539,10.658161197241895,0.0,17.630678014265033,"what is chronometer who invented it"
768208,17.028338611409268,17.028338611409268,22.065983863309242,"what is mamey"
877809,24.60989625798662,24.60989625798662,31.804915366618413,"what metal are hip replacements made of"
911232,10.726122594047707,3.3927892607143724,13.666771961378048,"what type of conflict does della face in o, henry the gift of the magi"
914916,9.466723439533904,8.835074312996921,31.804915366618413,"what type of tissue are bronchioles"
938400,17.27287664853846,12.534577493934584,31.804915366618413,"when did family feud come out?"
940547,6.390415648718751,7.067093109839586,13.630678014265035,"when did rock n roll begin?"
997622,31.80491536661842,31.80491536661842,31.804915366618413,"where is the show shameless filmed"
1030303,14.291888970223773,13.825005737928992,20.16042416454164,"who is aziz hashim"
1037496,30.64865606134687,29.444536078690945,31.804915366618413,"who is rep scalise?"
1043135,23.87710326084444,15.154932579577569,29.444536078690945,"who killed nicholas ii of russia"
1051399,18.324303857326452,18.68443311065088,22.154397028550857,"who sings monk theme song"
1064670,6.657175504919073,6.0716717421690936,9.666771961378048,"why do hunters pattern their shotguns?"
1071750,12.0715791209018,12.035842207806592,18.974207384587125,"why is pete rose banned from hall of fame"
1105792,8.247332251295576,8.247332251295576,11.81955861672984,"define: geon"
1106979,16.23412880883011,16.017616717241186,20.154397028550864,"define pareto chart in statistics"
1108651,24.864068900619515,22.596741954548822,31.804915366618413,"what the best way to get clothes white"
1109707,22.402432812544532,9.883469890449991,31.804915366618413,"what medium do radio waves travel through"
1110678,7.041408953824534,7.041408953824534,9.666771961378048,"what is the un fao"
1113256,28.18267657154803,26.648656830984628,28.182676571548022,"what is reba mcentire's net worth"
1115210,2.461588417367606,0.0,12.80541884523126,"what is chaff and flare"
1116380,0.8868528072345416,0.0,17.676610964349,"what is a nonconformity? earth science"
1121353,7.881990689916058,7.844681955019621,8.805418845231257,"what can you do about discrimination in the workplace in oklahoma city"
1122767,22.06459671290651,21.493017021236305,31.804915366618413,"what amino produces carnitine"
1127540,24.791603713727707,24.791603713727707,26.849343238214693,"meaning of shebang"
1131069,13.514735906513751,12.722705557155543,14.9165082750002,"how many sons robert kraft has"
1132532,27.20845557169433,28.543055859475505,31.804915366618413,"average annual income data analyst"
1133579,10.857157642330545,10.308799691193832,22.154397028550857,"how does granulation tissue start"
1136043,18.30235430212926,18.30235430212926,26.849343238214693,"difference between a hotel and motel"
1136047,10.31358910931085,10.474147531014475,17.676610964349,"difference between a company's strategy and business model is"
1136962,23.804915366618417,25.804915366618417,31.804915366618413,"why did the ancient egyptians call their land kemet, or black land?"
